PDB_ID	H_chain_ID	L_chain_ID	Ag_chain_ID(s)	Affinity_KD(nM)	Affinity_method	Affinity_temp(K)	Remark
7zjl	h	g	A	N.A.	N.A.	N.A.	N.A.
7zk1	B	N.A.	A	90	BLI	N.A.	N.A.
7zk1	C	N.A.	A	760	BLI	N.A.	N.A.
7zkw	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zkz	B	N.A.	A	90	BLI	N.A.	N.A.
7zkz	C	N.A.	A	189	BLI	N.A.	N.A.
7zlg	H	L	A	N.A.	N.A.	N.A.	N.A.
7zlh	H	L	A	N.A.	N.A.	N.A.	N.A.
7zli	H	L	A	N.A.	N.A.	N.A.	N.A.
7zlj	H	L	A	N.A.	N.A.	N.A.	N.A.
7zlk	S	T	C;E	5.55	BLI	N.A.	N.A.
7zlk	H	L	D	N.A.	N.A.	N.A.	N.A.
7zmk	E	F	A	N.A.	N.A.	N.A.	N.A.
7zml	F	N.A.	A;C	N.A.	N.A.	N.A.	N.A.
7zmm	E	N.A.	A;C	N.A.	N.A.	N.A.	N.A.
7zmn	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zmo	K	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zmp	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zmq	K	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zmr	K	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zms	K	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zmt	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zmv	G	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zox	B	N.A.	A	<0.01	BLI	298	N.A.
7zox	C	N.A.	A	0.004	BLI	298	N.A.
7zoz	H	L	A	4.68	BLI	N.A.	N.A.
7zqt	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zqt	C	D	A	N.A.	N.A.	N.A.	N.A.
7zr7	H	L	B	N.A.	N.A.	N.A.	N.A.
7zr8	H	L	A	N.A.	N.A.	N.A.	N.A.
7zr9	H	L	A	N.A.	N.A.	N.A.	N.A.
7zra	G	N.A.	A;C	50	fluorescence polarization	303	N.A.
7zrc	H	L	C	N.A.	N.A.	N.A.	N.A.
7zw1	C	N.A.	B	N.A.	N.A.	N.A.	N.A.
7zwf	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zwi	B	C	A	4.1	SPR	N.A.	N.A.
7zwm	B	C	A	4.1	SPR	N.A.	N.A.
7zwm	D	E	A	35.8	SPR	N.A.	N.A.
7zxf	B	C	A	1.34	SPR	N.A.	N.A.
7zxf	D	E	A	35.8	SPR	N.A.	N.A.
7zxg	B	C	A	35.8	SPR	N.A.	N.A.
7zxk	H	L	C	0.00386	BLI	N.A.	N.A.
7zxu	A	N.A.	E	N.A.	N.A.	N.A.	N.A.
7zxu	H	L	E	N.A.	N.A.	N.A.	N.A.
7zyi	H	L	A	60	ELISA	N.A.	N.A.
8a1e	B	C	A	0.06	SPR	277	N.A.
8a1e	D	E	A	1.6	SPR	277	N.A.
8a44	C	D	A	N.A.	N.A.	N.A.	N.A.
8a94	R	O	A	N.A.	N.A.	N.A.	N.A.
8a96	K	J	C	N.A.	N.A.	N.A.	N.A.
8a99	R	O	A	N.A.	N.A.	N.A.	N.A.
8acf	H	L	A	N.A.	N.A.	N.A.	N.A.
8aci	H	L	A	N.A.	N.A.	N.A.	N.A.
8ag1	H	L	A	4.39	BLI	N.A.	N.A.
8ahn	H	L	A	<0.001	BLI	N.A.	N.A.
8aok	B	N.A.	A	44	BLI	298	important KD data paper
8aom	V	N.A.	A	270	BLI	298	N.A.
8apy	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8as0	B	C	A;R	54	SPR	293	N.A.
8ath	H	L	A	12	BLI	N.A.	N.A.
8av9	H	L	A	N.A.	N.A.	N.A.	N.A.
8awm	H	L	A	N.A.	N.A.	N.A.	N.A.
8b17	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b18	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b19	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1a	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1b	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1c	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1d	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1e	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1f	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1g	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1h	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1i	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1j	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b1k	B	N.A.	A	14.8	microscale thermophoresis	N.A.	N.A.
8b41	G	N.A.	A	N.A.	N.A.	N.A.	N.A.
8b7h	H	L	A	0.0528	SPR	298	N.A.
8b7w	H	N.A.	C	0.06	SPR	303	N.A.
8bb7	C	N.A.	A	37.5	BLI	298	N.A.
8bbn	E	F	R	N.A.	N.A.	N.A.	N.A.
8bbn	H	L	R	N.A.	N.A.	N.A.	N.A.
8bbo	H	L	R	N.A.	N.A.	N.A.	N.A.
8bcz	A	B	R	N.A.	N.A.	N.A.	N.A.
8bcz	C	D	R	N.A.	N.A.	N.A.	N.A.
8bcz	E	F	R	N.A.	N.A.	N.A.	N.A.
8bcz	H	L	R	N.A.	N.A.	N.A.	N.A.
8be1	A	B	C	4.78	BLI	N.A.	N.A.
8be2	N	N.A.	S	N.A.	N.A.	N.A.	N.A.
8bec	A	N.A.	B	N.A.	N.A.	N.A.	N.A.
8bev	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8bf4	A	N.A.	C	0.237	BLI	298	N.A.
8bf4	B	N.A.	C	37.5	BLI	298	N.A.
8bg1	A	B	C	N.A.	N.A.	N.A.	N.A.
8bg2	A	N.A.	B	N.A.	N.A.	N.A.	N.A.
8bg3	A	N.A.	B	N.A.	N.A.	N.A.	N.A.
8bg4	A	N.A.	B	N.A.	N.A.	N.A.	N.A.
8bg5	A	N.A.	B	N.A.	N.A.	N.A.	N.A.
8bg6	A	B	E	N.A.	N.A.	N.A.	N.A.
8bg8	H	L	A	N.A.	N.A.	N.A.	N.A.
8bgg	Y	N.A.	C	N.A.	N.A.	N.A.	N.A.
8bh5	C	N.A.	E	N.A.	N.A.	N.A.	N.A.
8bh5	H	L	E	N.A.	N.A.	N.A.	N.A.
8bk2	F	G	C	N.A.	N.A.	N.A.	N.A.
8blq	A	B	D	N.A.	N.A.	N.A.	N.A.
8blq	E	C	D	N.A.	N.A.	N.A.	N.A.
8bse	H	L	A	0.242	SPR	298	important KD data paper
8bsf	H	L	A	0.789	SPR	298	N.A.
8bvr	B	N.A.	A	75	BLI	N.A.	N.A.
8bvs	B	N.A.	A	75	BLI	N.A.	N.A.
8bvt	B	N.A.	A	75	BLI	N.A.	N.A.
8bw0	H	L	C	N.A.	N.A.	N.A.	N.A.
8bw7	B	N.A.	A	75	BLI	N.A.	N.A.
8byu	H	L	A	1.1	BLI	303	N.A.
8bzy	B	N.A.	A	500	SPR	293	N.A.
8c02	B	N.A.	A	500	SPR	293	N.A.
8c3k	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8c3l	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8c3v	H	L	R	N.A.	N.A.	N.A.	N.A.
8c3v	I	N.A.	R	N.A.	N.A.	N.A.	N.A.
8c5h	N	N.A.	S	0.7	microscale thermophoresis	293	N.A.
8c7m	H	L	A	N.A.	N.A.	N.A.	N.A.
8c89	H	L	C	0.04618	SPR	N.A.	N.A.
8c8p	H	N.A.	A	38.4	BLI	303	N.A.
8c9x	F	N.A.	A;B	0.2	SPR	298	N.A.
8cau	H	N.A.	C	0.2	SPR	298	N.A.
8cbd	E	F	R	N.A.	N.A.	N.A.	N.A.
8cbd	H	L	R;Y	N.A.	N.A.	N.A.	N.A.
8cbe	A	B	E	N.A.	N.A.	N.A.	N.A.
8cbe	H	L	E	N.A.	N.A.	N.A.	N.A.
8cbf	A	B	E	N.A.	N.A.	N.A.	N.A.
8cbf	H	L	E	N.A.	N.A.	N.A.	N.A.
8cd0	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8cdd	E	D	B	N.A.	N.A.	N.A.	N.A.
8cde	D	C	B	N.A.	N.A.	N.A.	N.A.
8ce4	F	N.A.	A;B	1	SPR	298	N.A.
8chs	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
8ci1	F	N.A.	A;B	1	SPR	298	N.A.
8ci2	F	N.A.	A;B	0.2	SPR	298	N.A.
8cii	A	B	E	N.A.	N.A.	N.A.	N.A.
8cii	C	N.A.	E	N.A.	N.A.	N.A.	N.A.
8cii	H	L	E	N.A.	N.A.	N.A.	N.A.
8cim	H	L	C	N.A.	N.A.	N.A.	N.A.
8cin	H	L	A	N.A.	N.A.	N.A.	N.A.
8cma	H	L	E	N.A.	N.A.	N.A.	N.A.
8cml	A	N.A.	B	0.0077	SPR	N.A.	important KD data paper
8cml	C	N.A.	B	0.1199	SPR	N.A.	N.A.
8cni	A	N.A.	B	N.A.	N.A.	N.A.	N.A.
8coe	B	N.A.	C	N.A.	N.A.	N.A.	N.A.
8cr9	A	B	C	N.A.	N.A.	N.A.	N.A.
8crb	A	B	C	N.A.	N.A.	N.A.	N.A.
8ct6	H	L	A	2.95	BLI	303	important KD data paper
8cw9	J	B	A;E	54	BLI	298	N.A.
8cw9	H	L	F	N.A.	N.A.	N.A.	N.A.
8cwi	H	L	A	N.A.	N.A.	N.A.	N.A.
8cwj	J	K	G	N.A.	N.A.	N.A.	N.A.
8cwj	A	B	I	N.A.	N.A.	N.A.	N.A.
8cwk	A	B	C	N.A.	N.A.	N.A.	N.A.
8cwk	H	L	C	N.A.	N.A.	N.A.	N.A.
8cwu	B	N.A.	A	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cwv	B	N.A.	A	<0.001	SPR	N.A.	Affinity <10 nM by ELISA
8cwv	H	L	A	N.A.	N.A.	N.A.	N.A.
8cxc	A	N.A.	M	10	SPR	N.A.	N.A.
8cxc	H	L	M	64.4	SPR	298	N.A.
8cxi	h	l	B;C	N.A.	N.A.	N.A.	N.A.
8cxn	D	N.A.	A	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cxq	D	N.A.	A	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cxr	F	N.A.	B	N.A.	N.A.	N.A.	N.A.
8cy6	D	N.A.	A	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cy7	D	N.A.	A	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cy9	D	N.A.	A	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cya	E	N.A.	A	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cyb	D	N.A.	A	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cyc	D	N.A.	A	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cyd	F	N.A.	A	0.387	SPR	N.A.	Affinity <10 nM by ELISA
8cyh	H	L	M	64.4	SPR	298	N.A.
8cyj	A	N.A.	R	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cyj	B	N.A.	R	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cyj	C	N.A.	R	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cyj	D	N.A.	R	<10	ELISA	N.A.	Affinity <10 nM by ELISA
8cz5	H	L	A	10.8	ITC	298	N.A.
8cz8	C	N.A.	E	10	SPR	N.A.	N.A.
8cz8	D	N.A.	E	103	SPR	298	N.A.
8czz	M	N	A	N.A.	N.A.	N.A.	N.A.
8czz	C	D	A;B	N.A.	N.A.	N.A.	N.A.
8d0a	H	L	A	N.A.	N.A.	N.A.	N.A.
8d0y	D	E	B;G	N.A.	N.A.	N.A.	N.A.
8d0y	H	L	G	N.A.	N.A.	N.A.	N.A.
8d0z	H	L	A	5.7	BLI	N.A.	N.A.
8d1t	H	L	A	N.A.	N.A.	N.A.	N.A.
8d48	H	L	A	0.2	SPR	298	N.A.
8d4r	D	E	B;G	N.A.	N.A.	N.A.	N.A.
8d4r	H	L	G	N.A.	N.A.	N.A.	N.A.
8d50	D	E	B;G	N.A.	N.A.	N.A.	N.A.
8d50	H	L	G	N.A.	N.A.	N.A.	N.A.
8d7e	D	E	C	N.A.	N.A.	N.A.	N.A.
8d7e	F	G	C	N.A.	N.A.	N.A.	N.A.
8d8q	C	B	A	N.A.	N.A.	N.A.	N.A.
8d8q	H	L	A	N.A.	N.A.	N.A.	N.A.
8d8r	H	L	A	N.A.	N.A.	N.A.	N.A.
8d9y	B	A	I	N.A.	N.A.	N.A.	N.A.
8d9z	B	A	D	N.A.	N.A.	N.A.	N.A.
8da0	B	A	E	N.A.	N.A.	N.A.	N.A.
8da1	B	A	I	N.A.	N.A.	N.A.	N.A.
8dad	H	L	B	N.A.	N.A.	N.A.	N.A.
8dam	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8dam	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8db4	A	B	E	N.A.	N.A.	N.A.	N.A.
8db4	C	D	E	N.A.	N.A.	N.A.	N.A.
8dcc	H	L	E	N.A.	N.A.	N.A.	N.A.
8dce	H	N.A.	A	N.A.	N.A.	N.A.	N.A.
8dcy	A	B	C	1.7	SPR	N.A.	N.A.
8dd2	J	I	B	N.A.	N.A.	N.A.	N.A.
8ddk	A	B	C	N.A.	SPR	N.A.	N.A.
8de3	B	C	A	N.A.	N.A.	N.A.	N.A.
8de4	B	C	A	N.A.	N.A.	N.A.	N.A.
8der	H	L	A	N.A.	N.A.	N.A.	N.A.
8df1	H	L	A	3.21	BLI	N.A.	important KD data paper
8df5	A	B	R	N.A.	N.A.	N.A.	N.A.
8df5	H	L	R	N.A.	N.A.	N.A.	N.A.
8dfg	H	L	A	4.24	BLI	298	N.A.
8dfh	H	L	A	0.66	BLI	298	N.A.
8dfi	H	L	A	1.84	BLI	298	N.A.
8dfl	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8dg8	H	L	B	190	BLI	298	N.A.
8dg9	H	L	A	<0.001	BLI	298	N.A.
8di5	H	N.A.	C	N.A.	N.A.	N.A.	N.A.
8dim	B	C	A	N.A.	N.A.	N.A.	N.A.
8diu	H	I	A	N.A.	N.A.	N.A.	N.A.
8djg	C	D	E	N.A.	N.A.	N.A.	N.A.
8dk6	H	L	E	N.A.	N.A.	N.A.	N.A.
8dke	A	B	P	N.A.	N.A.	N.A.	N.A.
8dki	A	B	P	N.A.	N.A.	N.A.	N.A.
8dkm	A	B	P	N.A.	N.A.	N.A.	N.A.
8dkw	A	B	P	N.A.	N.A.	N.A.	N.A.
8dkx	A	B	P	N.A.	N.A.	N.A.	N.A.
8dl6	D	C	A	N.A.	N.A.	N.A.	N.A.
8dl7	D	C	A	10.6	BLI	303	N.A.
8dl8	D	C	A	10.6	BLI	303	N.A.
8dlr	H	L	A	N.A.	N.A.	N.A.	N.A.
8dls	H	L	A	N.A.	N.A.	N.A.	N.A.
8dlw	H	L	A;B	N.A.	N.A.	N.A.	N.A.
8dly	H	N.A.	C	N.A.	N.A.	N.A.	N.A.
8dm0	H	N.A.	C	N.A.	N.A.	N.A.	N.A.
8dm3	H	L	A	N.A.	N.A.	N.A.	N.A.
8dm4	H	L	A	N.A.	N.A.	N.A.	N.A.
8dmj	H	L	B	N.A.	N.A.	N.A.	N.A.
8dn6	C	D	A	60	ITC	277	N.A.
8dn7	A	B	C	N.A.	N.A.	N.A.	N.A.
8dnn	B	C	A	N.A.	N.A.	N.A.	N.A.
8dok	M	N	A	N.A.	N.A.	N.A.	N.A.
8dok	C	D	A;B	N.A.	N.A.	N.A.	N.A.
8dow	C	D	A	N.A.	N.A.	N.A.	N.A.
8dp0	B	N.A.	A	2.1	BLI	N.A.	N.A.
8dpl	A	B	D	0.00375	BLI	N.A.	N.A.
8dpl	C	N.A.	E;J	N.A.	N.A.	N.A.	N.A.
8dpm	D	E	A	0.00113	BLI	N.A.	N.A.
8dpm	C	N.A.	A;B;L	N.A.	N.A.	N.A.	N.A.
8dpz	F	G	B	N.A.	N.A.	N.A.	N.A.
8dqu	A	N.A.	C	N.A.	N.A.	N.A.	N.A.
8ds5	C	B	A	5.1	SPR	N.A.	N.A.
8dt3	H	L	C	1.09	BLI	291	N.A.
8dt8	D	N.A.	A	382	SPR	298	N.A.
8dt8	H	N.A.	A	391	SPR	298	N.A.
8dtk	C	B	A	N.A.	N.A.	N.A.	N.A.
8dto	C	D	A	N.A.	N.A.	N.A.	N.A.
8dun	H	L	G	N.A.	N.A.	N.A.	N.A.
8dw2	D	C	B	N.A.	N.A.	N.A.	N.A.
8dw2	H	L	B	N.A.	N.A.	N.A.	N.A.
8dw3	D	C	B	N.A.	N.A.	N.A.	N.A.
8dw3	H	L	B	N.A.	N.A.	N.A.	N.A.
8dw9	C	D	B	0.202	SPR	N.A.	N.A.
8dwa	H	L	A	0.188	SPR	N.A.	N.A.
8dww	H	L	N	N.A.	N.A.	N.A.	N.A.
8dwx	H	L	P	N.A.	N.A.	N.A.	N.A.
8dwy	H	L	P	N.A.	N.A.	N.A.	N.A.
8dxs	H	L	A	0.143	SPR	N.A.	N.A.
8dxt	H	L	R	0.2	BLI	298	N.A.
8dxu	A	B	R	0.31	BLI	298	N.A.
8dxu	H	L	R	N.A.	N.A.	N.A.	N.A.
8dy1	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8dy5	A	N.A.	C	N.A.	N.A.	N.A.	N.A.
8dyp	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8dzh	H	L	C	N.A.	N.A.	N.A.	important KD data paper
8dzi	H	L	C	N.A.	N.A.	N.A.	N.A.
8dzw	H	L	C	1.23	BLI	N.A.	N.A.
8e0e	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8e1g	H	L	A	0.161	SPR	298	KD for Ab-Spike;structure for Ab-RBD
8e1m	H	L	C	N.A.	N.A.	N.A.	N.A.
8e2u	H	L	A	N.A.	N.A.	N.A.	N.A.
8e6j	H	L	A	N.A.	N.A.	N.A.	N.A.
8e6k	H	L	A	N.A.	N.A.	N.A.	N.A.
8e7m	H	L	A	0.276	SPR	N.A.	N.A.
8e99	E	N.A.	B	N.A.	N.A.	N.A.	N.A.
8eay	H	L	A	N.A.	N.A.	N.A.	N.A.
8eb2	K	M	A	N.A.	N.A.	N.A.	N.A.
8ebp	H	L	A	N.A.	N.A.	N.A.	N.A.
8edf	H	L	A	0.412	SPR	N.A.	N.A.
8ee0	H	L	A	N.A.	N.A.	N.A.	N.A.
8ee1	B	C	A	5.7	ELISA	298	N.A.
8ee2	G	N.A.	E	N.A.	N.A.	N.A.	N.A.
8ee5	H	L	Z	N.A.	N.A.	N.A.	N.A.
8ee8	H	L	Z	N.A.	N.A.	N.A.	N.A.
8eed	H	L	A	N.A.	N.A.	N.A.	N.A.
8eee	H	L	E	N.A.	N.A.	N.A.	N.A.
8ejh	H	L	A	N.A.	N.A.	N.A.	N.A.
8eji	H	L	A	N.A.	N.A.	N.A.	N.A.
8ejj	H	L	c	0.5	BLI	303	N.A.
8ekd	E	F	G	N.A.	N.A.	N.A.	N.A.
8el2	H	L	A	0.55	ELISA	N.A.	KD estimated from figure
8elj	U	V	A	0.01648	ELISA	N.A.	N.A.
8eln	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8elo	B	N.A.	A	143	SPR	298	N.A.
8elo	H	L	A	N.A.	N.A.	N.A.	N.A.
8emy	G	N.A.	A	30.1	ITC	298	N.A.
8emz	B	N.A.	A	7.5	ITC	298	N.A.
8en0	D	N.A.	A	40.9	ITC	298	N.A.
8en1	C	N.A.	A;B	180	ITC	298	N.A.
8en2	D	N.A.	A	4.8	ITC	298	N.A.
8en3	C	N.A.	A;B	101	ITC	298	N.A.
8en4	C	N.A.	A;B	16	ITC	298	N.A.
8en5	E	N.A.	A;B	3.8	ITC	298	N.A.
8en6	C	N.A.	A	56.7	ITC	298	N.A.
8eoo	A	B	C	N.A.	N.A.	N.A.	N.A.
8eoo	H	L	C	1.1	BLI	303	N.A.
8epa	A	B	I	N.A.	N.A.	N.A.	N.A.
8epa	H	L	I	N.A.	N.A.	N.A.	N.A.
8eqf	H	L	A	0.125	BLI	293	N.A.
8erq	H	L	A	15.54	SPR	298	Geometric mean of two replicates
8err	H	L	A	15.54	SPR	298	Geometric mean of two replicates
8esv	H	L	A	N.A.	N.A.	N.A.	N.A.
8et0	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8evd	E	N.A.	G	N.A.	N.A.	N.A.	N.A.
8ew6	V	N.A.	W	2.4	SPR	291	N.A.
8eyg	E	N.A.	C	N.A.	N.A.	N.A.	N.A.
8eyh	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
8ez3	H	L	A	8	BLI	N.A.	important KD data paper
8ez7	H	L	A	8	BLI	N.A.	N.A.
8ez8	H	L	A	4	BLI	N.A.	N.A.
8ezk	H	N.A.	A	0.37	BLI	N.A.	N.A.
8ezl	H	N.A.	A	68.6	BLI	N.A.	N.A.
8ezm	H	N.A.	A	8.71	BLI	N.A.	N.A.
8f0h	B	D	C	0.383	SPR	298	KD for Ab-Spike;structure for Ab-RBD
8f0h	H	L	C	0.161	SPR	298	KD for Ab-Spike;structure for Ab-RBD
8f0i	H	I	G	N.A.	N.A.	N.A.	N.A.
8f2j	H	L	E	N.A.	N.A.	N.A.	N.A.
8f2x	H	L	A	N.A.	N.A.	N.A.	N.A.
8f38	E	H	A	N.A.	N.A.	N.A.	N.A.
8f5i	H	L	B	0.6	SPR	N.A.	N.A.
8f5n	H	L	A	N.A.	N.A.	N.A.	N.A.
8f60	A	B	C	N.A.	N.A.	N.A.	N.A.
8f6e	D	C	A	N.A.	N.A.	N.A.	N.A.
8f6f	D	C	A	N.A.	N.A.	N.A.	N.A.
8f6h	D	C	A	N.A.	N.A.	N.A.	N.A.
8f6i	D	C	A	N.A.	N.A.	N.A.	N.A.
8f6j	D	C	A	N.A.	N.A.	N.A.	N.A.
8f6l	A	B	C	N.A.	N.A.	N.A.	N.A.
8f6o	A	B	C	N.A.	N.A.	N.A.	N.A.
8f6u	A	N.A.	C;D	N.A.	N.A.	N.A.	N.A.
8f6v	A	N.A.	C	N.A.	N.A.	N.A.	N.A.
8f6x	F	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8f8w	D	N.A.	A	142	SPR	N.A.	N.A.
8f8x	D	N.A.	A	142	SPR	N.A.	N.A.
8fah	H	L	A	N.A.	N.A.	N.A.	N.A.
8fcz	C	N.A.	A	117	SPR	293	N.A.
8fd0	C	N.A.	A	117	SPR	293	N.A.
8fd1	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8fdo	A	B	C	0.6	SPR	N.A.	N.A.
8fe3	H	L	B	N.A.	N.A.	N.A.	N.A.
8fe4	H	L	B	N.A.	N.A.	N.A.	N.A.
8ffe	H	L	A	N.A.	N.A.	N.A.	N.A.
8fgx	B	A	C	1.07	SPR	310	N.A.
8fhy	H	L	I	1.09	BLI	303	N.A.
8fi9	H	L	A	0.69	BLI	303	N.A.
8fsj	C	B	E	N.A.	N.A.	N.A.	N.A.
8fsj	H	L	E	N.A.	N.A.	N.A.	N.A.
8fxb	H	L	E	2	SPR	298	N.A.
8fxc	H	L	E	30	SPR	298	N.A.
8fxs	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
8fxv	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8g0i	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
8g0w	D	N.A.	B	N.A.	N.A.	N.A.	N.A.
8g30	H	L	O	0.92	SPR	298	N.A.
8g3m	E	F	G	4.08	SPR	298	N.A.
8g3n	E	F	G	4.08	SPR	298	N.A.
8g3o	C	I	B	16	SPR	298	N.A.
8g3p	H	L	E	16	SPR	298	N.A.
8g3q	I	D	E	27.3	SPR	298	N.A.
8g3r	C	B	G	234	SPR	298	N.A.
8g3v	A	L	G	15.1	SPR	298	N.A.
8g3z	H	L	C	N.A.	N.A.	N.A.	N.A.
8g40	A	L	G	15.1	SPR	298	N.A.
8g4o	H	L	A	0.5	N.A.	N.A.	N.A.
8g4p	A	B	E	0.00335	BLI	N.A.	N.A.
8g4p	C	D	E	0.0134	BLI	N.A.	N.A.
8g5a	H	L	A	N.A.	N.A.	N.A.	N.A.
8g5b	H	L	A	N.A.	N.A.	N.A.	N.A.
8g5b	I	M	A	N.A.	N.A.	N.A.	N.A.
8g5b	J	N	A	N.A.	N.A.	N.A.	N.A.
8g6i	C	B	A	N.A.	N.A.	N.A.	N.A.
8g6u	M	N	A	N.A.	N.A.	N.A.	N.A.
8g6u	C	D	A;B	N.A.	N.A.	N.A.	N.A.
8g70	E	N.A.	A	N.A.	N.A.	N.A.	N.A.
8g70	G	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8g70	M	N.A.	B	N.A.	N.A.	N.A.	N.A.
8g70	N	N.A.	D	N.A.	N.A.	N.A.	N.A.
8g72	A	N.A.	B	0.527	SPR	N.A.	N.A.
8g73	C	N.A.	B	4.55	SPR	N.A.	N.A.
8g74	C	N.A.	B	4.55	SPR	N.A.	N.A.
8g75	E	N.A.	A	0.184	SPR	N.A.	N.A.
8g76	E	N.A.	A	N.A.	N.A.	N.A.	N.A.
8g77	G	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8g78	J	N.A.	A	N.A.	N.A.	N.A.	N.A.
8g78	G	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8g7a	C	N.A.	B	N.A.	N.A.	N.A.	N.A.
8g7b	C	N.A.	B	N.A.	N.A.	N.A.	N.A.
8g7c	E	N.A.	A	N.A.	N.A.	N.A.	N.A.
8g8w	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8g8w	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8gat	M	N	A	N.A.	N.A.	N.A.	N.A.
8gau	H	L	A	8.14	BLI	303	important KD data paper
8gau	M	N	A	N.A.	N.A.	N.A.	N.A.
8gav	H	L	A	3.73	BLI	303	N.A.
8gb5	B	C	A	<0.1	BLI	N.A.	N.A.
8gb6	H	L	A	<0.1	BLI	N.A.	N.A.
8gb7	H	L	A	<0.1	BLI	N.A.	N.A.
8gb8	H	L	E	N.A.	N.A.	N.A.	N.A.
8gdr	H	J	E	N.A.	N.A.	N.A.	N.A.
8gf2	C	D	A	N.A.	N.A.	N.A.	N.A.
8gf2	H	L	A	0.0714	SPR	298	important KD data paper;CR3022 mutations
8gh4	H	L	E	3.3	BLI	N.A.	N.A.
8ghp	H	L	A	N.A.	N.A.	N.A.	N.A.
8ghr	C	N.A.	A	0.56	BLI	N.A.	N.A.
8gje	H	L	A	5.4	SPR	298	N.A.
8gkl	H	L	E	N.A.	N.A.	N.A.	N.A.
8gng	H	L	A	N.A.	N.A.	N.A.	N.A.
8gnh	H	L	B	0.27	SPR	N.A.	N.A.
8gni	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8gnj	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8gnk	H	L	A	N.A.	N.A.	N.A.	N.A.
8gou	I	J	A	1.59	SPR	N.A.	N.A.
8gp5	E	F	X	0.041	SPR	298	N.A.
8gpg	E	F	X	0.041	SPR	298	N.A.
8gpi	H	L	S;Y	530	SPR	298	N.A.
8gpj	H	L	U;Y	514	SPR	298	N.A.
8gpt	D	E	A	0.00149	SPR	298	N.A.
8gpu	H	L	A	0.00149	SPR	298	N.A.
