PDB_ID	H_chain_ID	L_chain_ID	Ag_chain_ID(s)	Affinity_KD(nM)	Affinity_method	Affinity_temp(K)	Remark
7t0r	H	L	A	N.A.	N.A.	N.A.	N.A.
7t17	F	G	A	123	BLI	298	N.A.
7t25	H	L	E	N.A.	N.A.	N.A.	N.A.
7t3d	C	D	A	N.A.	N.A.	N.A.	N.A.
7t3d	H	L	A;B	N.A.	N.A.	N.A.	N.A.
7t3m	D	N.A.	A	0.107	BLI	N.A.	N.A.
7t4g	H	L	A	N.A.	N.A.	N.A.	N.A.
7t4q	J	K	A	N.A.	N.A.	N.A.	N.A.
7t4q	I	H	C;D	N.A.	N.A.	N.A.	N.A.
7t4q	F	G	C;E	N.A.	N.A.	N.A.	N.A.
7t4r	G	H	B	N.A.	N.A.	N.A.	N.A.
7t4r	J	I	B	N.A.	N.A.	N.A.	N.A.
7t4s	J	K	A	N.A.	N.A.	N.A.	N.A.
7t4s	H	I	D	N.A.	N.A.	N.A.	N.A.
7t5f	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7t5f	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7t5o	H	L	C	0.31	BLI	298	N.A.
7t72	H	L	A	0.54	BLI	298	N.A.
7t7b	H	L	A	1.44	ELISA	310	N.A.
7t82	D	C	A	N.A.	N.A.	N.A.	N.A.
7t92	H	L	B	N.A.	N.A.	N.A.	N.A.
7t9m	H	L	R	N.A.	N.A.	N.A.	N.A.
7t9n	H	L	R	N.A.	N.A.	N.A.	N.A.
7t9n	N	N.A.	X;Y	N.A.	N.A.	N.A.	N.A.
7tas	H	L	E	N.A.	N.A.	N.A.	N.A.
7tat	D	E	B	N.A.	N.A.	N.A.	N.A.
7tb8	D	E	A	N.A.	N.A.	N.A.	N.A.
7tb8	H	L	A	N.A.	N.A.	N.A.	N.A.
7tbf	D	E	A	N.A.	N.A.	N.A.	N.A.
7tbf	H	L	A	N.A.	N.A.	N.A.	N.A.
7tc9	H	L	B	N.A.	N.A.	N.A.	N.A.
7tca	H	L	B	N.A.	N.A.	N.A.	N.A.
7tcc	J	K	A	N.A.	N.A.	N.A.	N.A.
7tcc	H	L	B	N.A.	N.A.	N.A.	N.A.
7tcn	C	D	A	N.A.	N.A.	N.A.	N.A.
7tco	C	D	A	N.A.	N.A.	N.A.	N.A.
7tct	H	L	A	N.A.	N.A.	N.A.	N.A.
7td8	H	L	A	N.A.	N.A.	N.A.	N.A.
7tdm	H	L	B	52.3	BLI	298	important KD data paper
7tdn	H	L	B	98.4	BLI	298	N.A.
7te1	H	L	D	70	BLI	N.A.	N.A.
7te9	H	L	D	N.A.	N.A.	N.A.	N.A.
7teb	H	L	D	N.A.	N.A.	N.A.	N.A.
7tee	H	L	D	N.A.	N.A.	N.A.	N.A.
7tfn	H	L	A	N.A.	N.A.	N.A.	N.A.
7tfo	H	L	A	N.A.	N.A.	N.A.	N.A.
7tgf	B	N.A.	A	<0.03	SPR	N.A.	important KD data paper
7tgi	B	N.A.	A	0.11	SPR	N.A.	N.A.
7th2	C	N.A.	A	<0.03	SPR	N.A.	N.A.
7th3	B	N.A.	A	0.22	SPR	N.A.	N.A.
7the	B	C	A	0.6	SPR	N.A.	KD from DOI: 10.1016/j.cell.2021.06.021
7tho	H	L	A	N.A.	N.A.	N.A.	N.A.
7tht	H	L	C	0.6	SPR	N.A.	KD from DOI: 10.1016/j.cell.2021.06.021
7tjq	J	K	C;F	N.A.	N.A.	N.A.	N.A.
7tjq	H	L	F;G	0.368	SPR	N.A.	N.A.
7tl0	D	E	A	0.223	SPR	N.A.	N.A.
7tl0	J	K	A;B	N.A.	N.A.	N.A.	N.A.
7tly	A	B	I	2.67	SPR	298	N.A.
7tlz	B	A	J	N.A.	N.A.	N.A.	N.A.
7tm0	I	H	A	N.A.	N.A.	N.A.	N.A.
7tm0	N	O	A	N.A.	N.A.	N.A.	Ab-Ag interface has 14 residues
7tmz	H	L	A	N.A.	N.A.	N.A.	N.A.
7tn0	B	A	I	2.67	SPR	298	N.A.
7tn0	H	G	I	N.A.	N.A.	N.A.	N.A.
7tn9	E	F	S	4.42	SPR	N.A.	N.A.
7tn9	G	H	T	1.19	SPR	N.A.	N.A.
7tn9	O	P	V;X	1.64	SPR	N.A.	N.A.
7tp3	H	L	Z	N.A.	N.A.	N.A.	N.A.
7tp4	H	L	Z	N.A.	N.A.	N.A.	N.A.
7tpd	H	L	A	N.A.	N.A.	N.A.	N.A.
7tpg	H	L	B	N.A.	N.A.	N.A.	N.A.
7tpj	H	L	B	N.A.	N.A.	N.A.	N.A.
7tpr	F	N.A.	A	0.2	BLI	N.A.	important KD data paper
7tpr	D	N.A.	B	0.26	BLI	N.A.	N.A.
7trh	H	B	G	0.17	ELISA	298	N.A.
7tri	Z	Y	B	<0.1	ELISA	298	N.A.
7ttm	H	L	A	N.A.	N.A.	N.A.	N.A.
7ttx	H	L	A	N.A.	N.A.	N.A.	N.A.
7tty	H	L	A	N.A.	N.A.	N.A.	N.A.
7tuf	H	L	D	1.1	SPR	298	N.A.
7tug	H	L	D	1.6	SPR	298	N.A.
7tuy	H	L	R	N.A.	N.A.	N.A.	N.A.
7txt	C	D	S	N.A.	N.A.	N.A.	N.A.
7txw	H	L	A	6.3	ITC	298	N.A.
7txz	H	L	B	2.65	BLI	303	N.A.
7tz5	I	L	A	N.A.	N.A.	N.A.	N.A.
7tzg	B	N.A.	C	N.A.	N.A.	N.A.	N.A.
7tzh	C	N.A.	D	N.A.	N.A.	N.A.	N.A.
7u0d	M	N	B	N.A.	N.A.	N.A.	N.A.
7u0d	O	P	B	N.A.	N.A.	N.A.	N.A.
7u0x	H	L	A	<0.001	BLI	N.A.	KD is geometric mean of two measurements
7u2d	H	L	A	N.A.	N.A.	N.A.	N.A.
7u2e	H	L	A	N.A.	N.A.	N.A.	N.A.
7u5b	H	L	I	0.2	SPR	310	N.A.
7u60	H	L	A	N.A.	N.A.	N.A.	N.A.
7u8e	H	L	A	N.A.	N.A.	N.A.	N.A.
7u8g	D	E	A	N.A.	N.A.	N.A.	N.A.
7u8m	Q	R	A	N.A.	N.A.	N.A.	N.A.
7u8m	H	L	B;C	N.A.	N.A.	N.A.	N.A.
7u9e	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7u9e	H	N.A.	A	2.68	BLI	N.A.	important KD data paper
7u9f	H	L	A	N.A.	N.A.	N.A.	N.A.
7u9g	I	F	A	<0.001	BLI	298	N.A.
7u9o	H	L	A	0.93	SPR	298	KD for S-2P;structure for S-6P
7u9p	H	L	A	0.56	SPR	298	KD for S-2P;structure for S-6P
7u9v	H	L	A	N.A.	N.A.	N.A.	N.A.
